Country,Date,Open,High,Low,Close
ES,1984-10,19.9577,23.613,7.669,15.2895
ES,1984-11,15.2895,19.227,5.377,11.5523
ES,1984-12,11.5523,14.722,0.873,8.14616
ES,1985-01,8.14616,16.099,-4.033,5.00419
ES,1985-02,5.00419,17.008,3.199,9.75993
ES,1985-03,9.75993,19.56,2.221,8.81872
ES,1985-04,8.81872,22.667,5.262,13.203
ES,1985-05,13.203,23.779,5.749,14.5651
ES,1985-06,14.5651,29.573,12.594,20.3771
ES,1985-07,20.3771,33.832,16.183,24.2548
ES,1985-08,24.2548,32.818,13.696,23.4706
ES,1985-09,23.4706,31.228,15.313,22.6425
ES,1985-10,22.6425,27.553,9.966,17.7332
ES,1985-11,17.7332,23.883,0.697,10.3368
ES,1985-12,10.3368,17.755,1.174,8.72063
ES,1986-01,8.72063,15.412,1.816,7.05405
ES,1986-02,7.05405,16.499,-1.445,7.35719
ES,1986-03,7.35719,19.121,1.997,10.0555
ES,1986-04,10.0555,20.262,0.045,9.86745
ES,1986-05,9.86745,27.248,7.464,17.581
ES,1986-06,17.581,30.617,11.486,20.5085
ES,1986-07,20.5085,32.419,15.89,23.8311
ES,1986-08,23.8311,32.722,13.783,23.3505
ES,1986-09,23.3505,29.983,12.747,20.8906
ES,1986-10,20.8906,24.304,8.612,16.4706
ES,1986-11,16.4706,19.778,4.963,11.3161
ES,1986-12,11.3161,14.845,0.638,8.02266
ES,1987-01,8.02266,15.457,-0.603,6.56003
ES,1987-02,6.56003,20.28,-0.574,8.11805
ES,1987-03,8.11805,21.412,2.985,10.9408
ES,1987-04,10.9408,23.702,5.114,13.8068
ES,1987-05,13.8068,26.644,5.985,16.1351
ES,1987-06,16.1351,31.654,10.749,20.5704
ES,1987-07,20.5704,31.437,15.014,23.0998
ES,1987-08,23.0998,34.321,15.587,24.2567
ES,1987-09,24.2567,32.877,15.917,23.0071
ES,1987-10,23.0071,23.459,8.381,15.4235
ES,1987-11,15.4235,19.792,3.176,10.8014
ES,1987-12,10.8014,18.646,3.815,9.76043
ES,1988-01,9.76043,14.479,3.607,8.68852
ES,1988-02,8.68852,15.717,0.478,7.8556
ES,1988-03,7.8556,21.865,0.57,10.3928
ES,1988-04,10.3928,21.502,5.006,12.6819
ES,1988-05,12.6819,23.663,8.443,15.7731
ES,1988-06,15.7731,26.628,11.403,18.6207
ES,1988-07,18.6207,32.445,13.226,22.6926
ES,1988-08,22.6926,32.94,15.924,24.0676
ES,1988-09,24.0676,35.011,11.676,20.983
ES,1988-10,20.983,26.157,8.936,16.5886
ES,1988-11,16.5886,19.892,0.854,11.7305
ES,1988-12,11.7305,15.82,2.544,7.53742
ES,1989-01,7.53742,14.449,2.219,7.47191
ES,1989-02,7.47191,18.879,2.949,9.05532
ES,1989-03,9.05532,20.978,3.636,11.7202
